title,director,release_year,description,type,runtime,genres,9.9
7:19,Jorge Michel Grau,2016,"After a devastating earthquake hits Mexico City; trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",movie,94,"Drama;History",5.9
23:59,Gilbert Chan,2011,"When an army recruit is found dead; his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",movie,78,Horror,4.6
9,Shane Acker,2009,"In a postapocalyptic world; rag-doll robots hide in fear from dangerous machines out to exterminate them; until a brave newcomer joins the group.",movie,79,"Action;Adventure;Animation",7.1
9,Shane Acker,2009,"In a postapocalyptic world; rag-doll robots hide in fear from dangerous machines out to exterminate them; until a brave newcomer joins the group.",short,9,"Comedy;Drama;Short",5.4
122,Yasir Al Yasiri,2019,"After an awful accident; a couple admitted to a grisly hospital are separated and must find each other to escape â€” before death finds them.",movie,95,"Horror;Thriller",5.9
122,Yasir Al Yasiri,2019,"After an awful accident; a couple admitted to a grisly hospital are separated and must find each other to escape â€” before death finds them.",tvEpisode,29,Comedy,7.5
706,Shravan Kumar,2019,"When a doctor goes missing; his psychiatrist wife treats the bizarre medical condition of a psychic patient; who knows much more than he's leading on.",movie,120,Thriller,5.3
1920,Vikram Bhatt,2008,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,movie,138,"Horror;Mystery;Romance",6.4
1922,Zak Hilditch,2017,"A farmer pens a confession admitting to his wife's murder; but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",movie,102,"Crime;Drama;Horror",6.3
1983,,2018,"In this dark alt-history thriller; a naÃ¯ve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",tvSeries,60,"Crime;Drama;Thriller",6.8
3022,John Suits,2019,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm; the astronauts aboard a marooned space station slowly lose their minds.",movie,91,Sci-Fi,4.5
(t)error,"Lyric R. Cabral; David Felix Sutcliffe",2015,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,movie,84,Documentary,6.6
#alive,Cho Il,2020,"As a grisly virus rampages a city; a lone man stays locked inside his apartment; digitally cut off from seeking help and desperate to find a way out.",movie,98,"Action;Drama;Horror",6.2
#blackaf,,2020,"Kenya Barris and his family navigate relationships; race and culture while grappling with their newfound success in this comedy series.",tvSeries,36,Comedy,6.8
#cats_the_mewvie,Michael Margolis,2020,"This pawesome documentary explores how our feline friends became online icons; from the earliest text memes to the rise of celebrity cat influencers.",movie,90,Documentary,5.3
#friendbutmarried 2,Rako Prijanto,2020,"As Ayu and Ditto finally transition from best friends to newlyweds; a quick pregnancy creates uncertainty for the future of their young marriage.",movie,100,"Biography;Comedy;Drama",6.8
#realityhigh,Fernando Lebrija,2017,"When nerdy high schooler Dani finally attracts the interest of her longtime crush; she lands in the cross hairs of his ex; a social media celebrity.",movie,99,"Comedy;Drama;Romance",5.2
#roxy,Michael Kennedy,2018,A teenage hacker with a huge nose helps a cool kid woo a girl that heâ€™s secretly in love with.,movie,105,"Comedy;Romance",5.1
#rucker50,Robert McCullough Jr.,2016,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,movie,56,Documentary,5.2
Ã§arsi pazar,Muharrem GÃ¼lmez,2015,The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,movie,97,Comedy,5.2
Ã§ok filim hareketler bunlar,Ozan AÃ§Ä±ktan,2010,"Vignettes of the summer holidays follow vacationers as they battle mosquitoes; suffer ruined plans and otherwise hit snags in their precious time off.",movie,134,Comedy,4.4
Ã¦on flux,Karyn Kusama,2005,"Aiming to hasten an uprising; the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.",movie,93,"Action;Adventure;Sci-Fi",5.5
1 chance 2 dance,Adam Deyoe,2014,"When an aspiring dancer is uprooted during her senior year of high school; she finds herself torn between two boys â€“ and with one shot at her dream.",movie,89,"Drama;Family",4.8
1 mile to you,Leif Tilden,2017,"After escaping the bus accident that killed his girlfriend; a high school student channels his grief into running; with the help of a new coach.",movie,104,"Drama;Romance;Sport",6.3
10 days in sun city,Adze Ugah,2017,"After his girlfriend wins the Miss Nigeria pageant; a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",movie,87,"Adventure;Comedy;Romance",5.1
10 jours en or,Nicolas Brossette,2012,"When a carefree bachelor is unexpectedly left in charge of a young boy; the two embark on a road trip that will change both of their lives.",movie,95,"Comedy;Drama",5.9
100 days my prince,,2018,"Upon losing his memory; a crown prince encounters a commonerâ€™s life and experiences unforgettable love as the husband to Joseonâ€™s oldest bachelorette.",tvSeries,75,"Comedy;History;Romance",7.6
100 meters,Marcel Barrena,2016,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon; with his cranky father-in-law's help.",movie,108,"Biography;Comedy;Drama",7.6
100 things to do before high school,,2014,"Led by seventh-grader C.J.; three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",tvSeries,30,"Comedy;Family",6.2
100 things to do before high school,,2014,"Led by seventh-grader C.J.; three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",tvEpisode,60,"Comedy;Family",7.5
100% halal,Jastis Arimba,2020,"After high school; a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",movie,100,Drama,6.7
12 round gun,Sam Upton,2017,"Dealing with personal demons and the death of his son; a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.",movie,92,"Drama;Sport",4.7
12 years promise,,2014,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America; but 12 years later; the couple reunites in Korea.",tvSeries,70,"Comedy;Drama;Romance",7.3
13 cameras,Victor Zarcoff,2015,"Young parents-to-be Claire and Ryan move into a suburban rental home; unaware that someone is secretly watching their every move via hidden cameras.",movie,87,"Crime;Drama;Horror",5.1
13 sins,Daniel Stamm,2014,"A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme; he realizes he's made a grave mistake.",movie,93,"Horror;Thriller",6.3
13th,Ava DuVernay,2016,"In this thought-provoking documentary; scholars; activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",movie,100,"Crime;Documentary;History",8.3
13th: a conversation with oprah winfrey & ava duvernay,,2017,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film; historical cycles of oppression and the broken prison system.",video,37,"Documentary;Short",7.1
14 blades,Daniel Lee,2010,"In the age of the Ming Dynasty; Quinglong is the best of the Jinyiwei; an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor; Quinglong is called to action but is quickly betrayed.",movie,114,"Action;History;Thriller",6.3
